action,risk,ats_type,ats_identifier,name,clean_name,board_url,jobs_count,sample_title_1,has_real_domain,domain_to_use,existing_db_name,existing_db_domain
insert,low,greenhouse,cloudflare,"Cloudflare","Cloudflare",https://boards.greenhouse.io/cloudflare,142,"Business Analyst Intern, Marketing (July to December 2026)",no,cloudflare.greenhouse.ats-placeholder,,
insert,low,greenhouse,singlestore,"SingleStore","SingleStore",https://boards.greenhouse.io/singlestore,42,"AWS Partner Manager",no,singlestore.greenhouse.ats-placeholder,,
insert,med,ashby,vizcom,"Vizcom","Vizcom",https://jobs.ashbyhq.com/vizcom,7,"AI Engineer",no,vizcom.ashby.ats-placeholder,,
insert,low,greenhouse,edo,"EDO","EDO",https://boards.greenhouse.io/edo,16,"Backend Engineering Manager",no,edo.greenhouse.ats-placeholder,,
insert,high,ashby,hotplate,"Hotplate","Hotplate",https://jobs.ashbyhq.com/hotplate,2,"Full Stack Engineer",no,hotplate.ashby.ats-placeholder,,
insert,low,ashby,rogerhealthcare,"Roger Healthcare","Roger Healthcare",https://jobs.ashbyhq.com/rogerhealthcare,6,"Senior Software Engineer, Backend",no,rogerhealthcare.ashby.ats-placeholder,,
insert,med,ashby,numeric,"Numeric","Numeric",https://jobs.ashbyhq.com/numeric,10,"Account Executive",no,numeric.ashby.ats-placeholder,,
insert,low,greenhouse,scanner,"Scanner","Scanner",https://boards.greenhouse.io/scanner,3,"Full Stack Engineer",no,scanner.greenhouse.ats-placeholder,,
insert,low,greenhouse,symbolica,"Symbolica AI","Symbolica AI",https://boards.greenhouse.io/symbolica,2,"AI Agent Engineer",no,symbolica.greenhouse.ats-placeholder,,
insert,low,ashby,teal-health,"Teal Health","Teal Health",https://jobs.ashbyhq.com/teal-health,5,"Director of Finance",no,teal-health.ashby.ats-placeholder,,
skip-ats,med,ashby,lindy,"Lindy.ai","Lindy.ai",https://jobs.ashbyhq.com/lindy,6,"Full Stack Software Engineer (Early Career)",no,lindy.ashby.ats-placeholder,,
insert,med,ashby,anrok,"Anrok","Anrok",https://jobs.ashbyhq.com/anrok,21,"Software Engineer (7+ years of experience)",no,anrok.ashby.ats-placeholder,,
insert,low,greenhouse,goodfire,"Goodfire","Goodfire",https://boards.greenhouse.io/goodfire,17,"Brand & Growth Lead",no,goodfire.greenhouse.ats-placeholder,,
insert,low,greenhouse,majorleaguebaseball,"Major League Baseball","Major League Baseball",https://boards.greenhouse.io/majorleaguebaseball,73,"2026 Internship - Sponsorship Sales (Japan)",no,majorleaguebaseball.greenhouse.ats-placeholder,,
insert,low,greenhouse,watershed,"Watershed","Watershed",https://boards.greenhouse.io/watershed,8,"Customer Success Engineer, Bioinformatics",no,watershed.greenhouse.ats-placeholder,,
insert,low,greenhouse,homelight,"HomeLight","HomeLight",https://boards.greenhouse.io/homelight,20,"Account Executive - Realtor Software",no,homelight.greenhouse.ats-placeholder,,
insert,med,lever,osaro,"Osaro","Osaro",https://jobs.lever.co/osaro,8,"Deployment Engineer",no,osaro.lever.ats-placeholder,,
insert,low,smartrecruiters,vouch,"Vouch Insurance","Vouch Insurance",https://careers.smartrecruiters.com/vouch,2,"JOb 2",no,vouch.smartrecruiters.ats-placeholder,,
insert,med,lever,veeva,"Veeva","Veeva",https://jobs.lever.co/veeva,1040,"(Associate) Team Lead - Data Operations",no,veeva.lever.ats-placeholder,,
insert,low,greenhouse,cargomatic,"Cargomatic","Cargomatic",https://boards.greenhouse.io/cargomatic,26,"Account Managers - Drayage & Supply Chain",no,cargomatic.greenhouse.ats-placeholder,,
insert,med,lever,lumafield,"Lumafield","Lumafield",https://jobs.lever.co/lumafield,17,"Backend Software Engineer",no,lumafield.lever.ats-placeholder,,
insert,low,ashby,trove,"Trove AI","Trove AI",https://jobs.ashbyhq.com/trove,5,"Founding Backend Engineer",no,trove.ashby.ats-placeholder,,
insert,low,ashby,remedyrobotics,"Remedy Robotics","Remedy Robotics",https://jobs.ashbyhq.com/remedyrobotics,10,"Manufacturing Lead",no,remedyrobotics.ashby.ats-placeholder,,
insert,med,ashby,gamma,"Gamma (gamma.app)","Gamma",https://jobs.ashbyhq.com/gamma,47,"Software Engineer, Backend",no,gamma.ashby.ats-placeholder,,
